시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
KOSPI200,HL만도,204320,2021-05-12,65300.0,54.51,1.9,65200.0,-0.15,64400.0,-1.38,60200.0,-7.81,미터치,60
KOSPI200,한화,000880,2021-05-13,39435.0,55.23,2.48,38955.0,-1.22,36674.0,-7.0,35534.0,-9.89,터치,60
KOSPI200,현대차,005380,2021-05-13,229500.0,55.68,1.71,238500.0,3.92,222500.0,-3.05,217000.0,-5.45,미터치,60
NASDAQ100,Nvidia,NVDA,2021-05-21,14.99,57.13,2.49,18.43,22.92,19.46,29.79,15.18,1.23,미터치,60
NASDAQ100,NXP Semiconductors,NXPI,2021-06-25,204.17,55.78,4.4,198.16,-2.94,206.06,0.93,184.92,-9.43,터치,60
NASDAQ100,Starbucks,SBUX,2021-06-25,113.04,55.49,2.55,126.06,11.52,112.22,-0.73,110.38,-2.35,미터치,60
NASDAQ100,Micron Technology,MU,2021-06-30,84.98,59.93,2.04,77.08,-9.3,74.05,-12.86,68.81,-19.03,터치,60
KOSPI200,OCI홀딩스,010060,2021-07-01,97346.0,53.6,2.34,93770.0,-3.67,127543.0,31.02,80260.0,-17.55,터치,60
KOSPI200,한국항공우주,047810,2021-07-07,34700.0,57.41,1.84,33650.0,-3.03,31350.0,-9.65,30500.0,-12.1,터치,60
KOSPI200,LS,006260,2021-07-14,71600.0,55.35,2.03,71600.0,0.0,64900.0,-9.36,61300.0,-14.39,터치,60
KOSPI200,씨에스윈드,112610,2021-07-14,80400.0,56.83,1.92,79900.0,-0.62,72500.0,-9.83,66900.0,-16.79,터치,60
KOSPI200,HD현대일렉트릭,267260,2021-07-14,21400.0,56.09,2.34,24200.0,13.08,25650.0,19.86,20700.0,-3.27,미터치,60
KOSPI200,한솔케미칼,014680,2021-07-15,249500.0,56.29,1.56,290000.0,16.23,362000.0,45.09,244500.0,-2.0,미터치,60
KOSPI200,대상,001680,2021-07-16,27800.0,53.14,2.36,26200.0,-5.76,24150.0,-13.13,22950.0,-17.45,터치,60
KOSPI200,한솔케미칼,014680,2021-07-16,250000.0,56.76,1.74,297000.0,18.8,362000.0,44.8,244500.0,-2.2,미터치,60
KOSPI200,한국카본,017960,2021-07-21,12100.0,57.58,2.69,10100.0,-16.53,11650.0,-3.72,9880.0,-18.35,터치,60
KOSPI200,삼성물산,028260,2021-07-21,136500.0,55.01,2.8,129500.0,-5.13,121500.0,-10.99,117500.0,-13.92,터치,60
KOSPI200,POSCO홀딩스,005490,2021-07-23,353500.0,58.1,2.14,309500.0,-12.45,313000.0,-11.46,300500.0,-14.99,터치,60
KOSPI200,현대제철,004020,2021-07-27,53400.0,54.25,2.1,48450.0,-9.27,45700.0,-14.42,43250.0,-19.01,터치,60
KOSPI200,현대제철,004020,2021-07-28,54100.0,57.0,1.51,48350.0,-10.63,44600.0,-17.56,43250.0,-20.06,터치,60
KOSPI200,현대제철,004020,2021-07-30,54000.0,56.0,1.68,50100.0,-7.22,44100.0,-18.33,43250.0,-19.91,터치,60
KOSPI200,코스맥스,192820,2021-08-11,133500.0,58.16,5.03,126500.0,-5.24,105500.0,-20.97,102500.0,-23.22,터치,60
KOSPI200,기아,000270,2021-08-12,86600.0,51.39,2.74,82500.0,-4.73,86800.0,0.23,74700.0,-13.74,터치,60
KOSPI200,코스맥스,192820,2021-08-12,135000.0,59.88,2.73,132000.0,-2.22,106000.0,-21.48,102500.0,-24.07,터치,60
KOSPI200,한샘,009240,2021-08-27,118000.0,55.15,1.9,118500.0,0.42,89000.0,-24.58,81000.0,-31.36,터치,60
KOSPI200,효성중공업,298040,2021-08-27,76300.0,57.81,3.09,76600.0,0.39,64900.0,-14.94,64000.0,-16.12,터치,60
KOSPI200,현대건설,000720,2021-08-30,51859.0,52.25,1.61,51400.0,-0.89,45600.0,-12.07,44850.0,-13.52,터치,60
KOSPI200,대한항공,003490,2021-08-30,31100.0,58.53,1.82,33700.0,8.36,26550.0,-14.63,25450.0,-18.17,터치,60
KOSPI200,롯데칠성,005300,2021-08-30,145000.0,59.74,1.87,147500.0,1.72,136000.0,-6.21,132000.0,-8.97,터치,60
KOSPI200,현대위아,011210,2021-08-30,92100.0,53.84,1.52,78800.0,-14.44,72700.0,-21.06,71700.0,-22.15,터치,60
KOSPI200,대한항공,003490,2021-08-31,31300.0,59.79,1.55,33650.0,7.51,26500.0,-15.34,25450.0,-18.69,터치,60
KOSPI200,LG이노텍,011070,2021-08-31,215000.0,51.65,1.63,204000.0,-5.12,304500.0,41.63,181000.0,-15.81,터치,60
KOSPI200,현대글로비스,086280,2021-08-31,97038.0,54.62,1.87,80781.0,-16.75,72778.0,-25.0,72027.0,-25.77,터치,60
KOSPI200,한샘,009240,2021-09-01,116500.0,52.93,2.51,111500.0,-4.29,89200.0,-23.43,81000.0,-30.47,터치,60
KOSPI200,SK텔레콤,017670,2021-09-01,54004.0,58.53,1.74,55212.0,2.24,58300.0,7.95,50000.0,-7.41,미터치,60
KOSPI200,삼성E&A,028050,2021-09-01,23750.0,57.91,2.11,25550.0,7.58,21050.0,-11.37,20000.0,-15.79,터치,60
KOSPI200,두산에너빌리티,034020,2021-09-01,21138.0,53.9,2.75,18821.0,-10.96,19207.0,-9.14,17421.0,-17.58,터치,60
KOSPI200,한전기술,052690,2021-09-01,48850.0,50.48,1.75,51500.0,5.42,94900.0,94.27,43800.0,-10.34,터치,60
KOSPI200,세아베스틸지주,001430,2021-09-02,29650.0,54.12,3.89,24500.0,-17.37,20000.0,-32.55,17600.0,-40.64,터치,60
KOSPI200,한전KPS,051600,2021-09-02,39500.0,50.65,1.75,40300.0,2.03,39000.0,-1.27,36800.0,-6.84,미터치,60
NASDAQ100,Coca-Cola Europacific Partners,CCEP,2021-09-02,60.25,55.4,1.59,55.86,-7.29,51.82,-13.99,50.11,-16.83,터치,60
KOSPI200,현대해상,001450,2021-09-28,25750.0,55.91,1.85,26500.0,2.91,24750.0,-3.88,22650.0,-12.04,터치,60
